wRunwFitwGenwCostwNum_PlayerswTeam
0w0w1843.0w522w99.00000000000001w11w['MONREAL, N', 'LASCELLES, J', 'YEDLIN, D', 'BRUNO', 'DE BRUYNE, K', 'DOUCOURE, A', 'MOOY, A', 'GUDMUNDSSON, J', 'SUNG-YEUNG, K', 'SALAH, M', 'MORAES, E']
1w1w1440.0w522w98.39999999999999w11w['WALKER, K', 'VERTONGHEN, J', 'VALENCIA, A', 'KEANE, M', 'SCHLUPP, J', 'OZIL, M', 'RAMSEY, A', 'GUEYE, I', 'WILSON, C', 'QUANER, C', 'SCHMEICHEL, K']
2w2w1644.0w522w98.99999999999999w11w['OTAMENDI, N', 'MONREAL, N', 'GOMEZ, J', 'TOMKINS, J', 'CRESSWELL, A', 'ZAHA, W', 'MATIC, N', 'MILIVOJEVIC, L', 'REDMOND, N', 'KANE, H', 'GOMES, H']
3w3w1652.0w522w99.2w11w['OTAMENDI, N', 'MAGUIRE, H', 'JORGENSEN, M', 'CRESSWELL, A', 'ZABALETA, P', 'DE BRUYNE, K', 'KANTE, N', 'IBE, J', 'CLEVERLEY, T', 'FIRMINO, R', 'COURTOIS, T']
4w4w1496.0w522w99.10000000000001w11w['MAGUIRE, H', 'KLAVAN, R', 'ZOUMA, K', 'SOARES, C', 'DE BRUYNE, K', 'XHAKA, G', 'ALLI, D', 'HENDRICK, J', 'AMARTEY, D', 'SANCHEZ, A', 'MORAES, E']
5w5w1742.0w522w99.69999999999999w11w['DANILO', 'VAN AANHOLT, P', 'DANIELS, C', 'FUCHS, C', 'SILVA, D', 'HAZARD, E', 'XHAKA, G', 'DOUCOURE, A', 'RICHARLISON', 'SALAH, M', 'MCCARTHY, A']
6w6w1539.0w522w99.99999999999999w11w['WALKER, K', 'SANCHEZ, D', 'SCHINDLER, C', 'SOARES, C', 'ERIKSEN, C', 'SILVA, D', 'POGBA, P', 'SHAQIRI, X', 'TOWELL, R', 'HEUNG-MIN, S', 'ROMERO, S']
7w7w1561.0w522w99.5w11w['VALENCIA, A', 'DAVIES, B', 'GOMEZ, J', 'VAN AANHOLT, P', 'AKE, N', 'DE BRUYNE, K', 'DIER, E', 'SURMAN, A', 'SANCHEZ, A', 'NIASSE, O', 'POPE, N']
8w8w1562.0w522w99.9w11w['LOVREN, D', 'MATIP, J', 'RICE, D', 'BENNETT, R', 'DE BRUYNE, K', 'STERLING, R', 'SILVA, D', 'HENDRICK, J', 'LACAZETTE, A', 'MURRAY, G', 'CECH, P']
9w9w1665.0w522w100.0w11w['OTAMENDI, N', 'WALKER, K', 'VERTONGHEN, J', 'BERTRAND, R', 'MANQUILLO, J', 'ZAHA, W', 'DOUCOURE, A', 'ROMEU, O', 'IBORRA, V', 'KANE, H', 'HENNESSEY, W']
10w10w1729.0w522w99.7w11w['OTAMENDI, N', 'SANCHEZ, D', 'HOLEBAS, J', 'SMITH, A', 'ERIKSEN, C', 'DOUCOURE, A', 'SHAQIRI, X', 'RICHARLISON', 'KANE, H', 'JOSELU', 'POPE, N']
